NUMBER	TC3	BIN	HEX
1	-39	b100111	X27
2	-36	b100100	X24
3	8	1000	8
4	34	100010	22
5	17	10001	11
6	49	110001	31
7	5	101	5
8	39	100111	27
9	0	0	0
10	33	100001	21
11	12	1100	C
12	-6	b110	X6
13	27	11011	1B
14	-4	b100	X4
15	-38	b100110	X26
16	26	11010	1A
17	49	110001	31
18	29	11101	1D
19	42	101010	2A
20	-16	b10000	X10
21	-28	b11100	X1C
22	34	100010	22
23	20	10100	14
24	0	0	0
25	25	11001	19
26	45	101101	2D
27	3	11	3
28	-46	b101110	X2E
29	-46	b101110	X2E
30	29	11101	1D
31	33	100001	21
32	29	11101	1D
33	26	11010	1A
34	-5	b101	X5
35	-36	b100100	X24
36	12	1100	C
37	45	101101	2D
38	-50	b110010	X32
39	0	0	0
40	-6	b110	X6
41	-39	b100111	X27
42	35	100011	23
43	26	11010	1A
44	-35	b100011	X23
45	-42	b101010	X2A
46	14	1110	E
47	-3	b11	X3
48	22	10110	16
49	-47	b101111	X2F
50	12	1100	C
51	-17	b10001	X11
52	-31	b11111	X1F
53	-25	b11001	X19
54	-35	b100011	X23
55	-18	b10010	X12
56	14	1110	E
57	37	100101	25
58	-8	b1000	X8
59	-41	b101001	X29
60	-50	b110010	X32
61	-9	b1001	X9
62	2	10	2
63	12	1100	C
64	-39	b100111	X27
65	-17	b10001	X11
66	0	0	0
67	27	11011	1B
68	28	11100	1C
69	45	101101	2D
70	-44	b101100	X2C
71	28	11100	1C
72	35	100011	23
73	-33	b100001	X21
74	43	101011	2B
75	-4	b100	X4
76	23	10111	17
77	-49	b110001	X31
78	49	110001	31
79	-7	b111	X7
80	-38	b100110	X26
81	-45	b101101	X2D
82	5	101	5
83	-21	b10101	X15
84	26	11010	1A
85	-2	b10	X2
86	-24	b11000	X18
87	6	110	6
88	-45	b101101	X2D
89	-4	b100	X4
90	15	1111	F
91	0	0	0
92	-17	b10001	X11
93	-35	b100011	X23
94	43	101011	2B
95	45	101101	2D
96	-35	b100011	X23
97	-8	b1000	X8
98	28	11100	1C
99	47	101111	2F
100	34	100010	22
101	-24	b11000	X18
102	-42	b101010	X2A
103	-13	b1101	XD
104	14	1110	E
105	-45	b101101	X2D
106	-35	b100011	X23
107	27	11011	1B
108	-12	b1100	XC
109	-19	b10011	X13
110	-20	b10100	X14
111	-14	b1110	XE
112	20	10100	14
113	30	11110	1E
114	12	1100	C
115	-36	b100100	X24
116	-47	b101111	X2F
117	-27	b11011	X1B
118	-3	b11	X3
119	6	110	6
120	36	100100	24
121	9	1001	9
122	-16	b10000	X10
123	36	100100	24
124	-27	b11011	X1B
125	7	111	7
126	-6	b110	X6
127	-5	b101	X5
128	5	101	5
129	47	101111	2F
130	23	10111	17
131	-48	b110000	X30
132	-24	b11000	X18
133	40	101000	28
134	-4	b100	X4
135	-18	b10010	X12
136	-19	b10011	X13
137	14	1110	E
138	15	1111	F
139	1	1	1
140	24	11000	18
141	-9	b1001	X9
142	-50	b110010	X32
143	18	10010	12
144	15	1111	F
145	30	11110	1E
146	44	101100	2C
147	9	1001	9
148	19	10011	13
149	33	100001	21
150	41	101001	29
151	-24	b11000	X18
152	43	101011	2B
153	48	110000	30
154	-23	b10111	X17
155	7	111	7
156	28	11100	1C
157	8	1000	8
158	-2	b10	X2
159	37	100101	25
160	42	101010	2A
161	-17	b10001	X11
162	-6	b110	X6
163	36	100100	24
164	22	10110	16
165	27	11011	1B
166	31	11111	1F
167	-47	b101111	X2F
168	-43	b101011	X2B
169	0	0	0
170	27	11011	1B
171	30	11110	1E
172	12	1100	C
173	-15	b1111	XF
174	-19	b10011	X13
175	-42	b101010	X2A
176	-37	b100101	X25
177	31	11111	1F
178	-10	b1010	XA
179	18	10010	12
180	33	100001	21
181	-15	b1111	XF
182	17	10001	11
183	25	11001	19
184	-25	b11001	X19
185	-5	b101	X5
186	33	100001	21
187	-13	b1101	XD
188	33	100001	21
189	-10	b1010	XA
190	47	101111	2F
191	47	101111	2F
192	-13	b1101	XD
193	-32	b100000	X20
194	1	1	1
195	1	1	1
196	-25	b11001	X19
197	-33	b100001	X21
198	16	10000	10
199	17	10001	11
200	4	100	4
